-5	0
-4.98	0
-4.96	0
-4.94	0
-4.92	0
-4.9	0
-4.88	0
-4.86	0
-4.84	0
-4.82	0
-4.8	0
-4.78	0
-4.76	0
-4.74	0
-4.72	0
-4.7	0
-4.68	0
-4.66	0
-4.64	0
-4.62	0
-4.6	0
-4.58	0
-4.56	0
-4.54	0
-4.52	0
-4.5	0
-4.48	0
-4.46	0
-4.44	0
-4.42	0
-4.4	0
-4.38	0
-4.36	0
-4.34	0
-4.32	0
-4.3	0
-4.28	0
-4.26	0
-4.24	0
-4.22	0
-4.2	0
-4.18	0
-4.16	0
-4.14	1
-4.12	0
-4.1	0
-4.08	0
-4.06	0
-4.04	0
-4.02	0
-4	0
-3.98	0
-3.96	0
-3.94	0
-3.92	0
-3.9	1
-3.88	0
-3.86	0
-3.84	0
-3.82	0
-3.8	0
-3.78	0
-3.76	0
-3.74	1
-3.72	0
-3.7	0
-3.68	0
-3.66	0
-3.64	1
-3.62	0
-3.6	0
-3.58	1
-3.56	1
-3.54	1
-3.52	1
-3.5	0
-3.48	0
-3.46	2
-3.44	0
-3.42	2
-3.4	2
-3.38	1
-3.36	0
-3.34	1
-3.32	1
-3.3	1
-3.28	1
-3.26	1
-3.24	0
-3.22	1
-3.2	1
-3.18	2
-3.16	1
-3.14	3
-3.12	4
-3.1	1
-3.08	10
-3.06	5
-3.04	3
-3.02	2
-3	6
-2.98	5
-2.96	5
-2.94	4
-2.92	9
-2.9	3
-2.88	4
-2.86	12
-2.84	9
-2.82	8
-2.8	7
-2.78	5
-2.76	8
-2.74	14
-2.72	10
-2.7	8
-2.68	10
-2.66	11
-2.64	8
-2.62	15
-2.6	16
-2.58	14
-2.56	18
-2.54	14
-2.52	19
-2.5	17
-2.48	19
-2.46	26
-2.44	24
-2.42	26
-2.4	30
-2.38	29
-2.36	24
-2.34	33
-2.32	31
-2.3	26
-2.28	31
-2.26	31
-2.24	31
-2.22	34
-2.2	22
-2.18	34
-2.16	34
-2.14	44
-2.12	45
-2.1	41
-2.08	49
-2.06	54
-2.04	53
-2.02	37
-2	67
-1.98	45
-1.96	61
-1.94	68
-1.92	57
-1.9	64
-1.88	63
-1.86	90
-1.84	78
-1.82	71
-1.8	81
-1.78	87
-1.76	88
-1.74	90
-1.72	77
-1.7	94
-1.68	88
-1.66	109
-1.64	121
-1.62	127
-1.6	112
-1.58	103
-1.56	125
-1.54	133
-1.52	149
-1.5	134
-1.48	144
-1.46	153
-1.44	129
-1.42	141
-1.4	139
-1.38	157
-1.36	156
-1.34	163
-1.32	171
-1.3	186
-1.28	170
-1.26	188
-1.24	194
-1.22	194
-1.2	191
-1.18	183
-1.16	193
-1.14	192
-1.12	189
-1.1	239
-1.08	245
-1.06	218
-1.04	219
-1.02	256
-1	272
-0.98	285
-0.96	261
-0.94	257
-0.92	270
-0.9	281
-0.88	294
-0.86	326
-0.84	273
-0.82	322
-0.8	295
-0.78	297
-0.76	287
-0.74	288
-0.72	293
-0.7	320
-0.68	331
-0.66	307
-0.64	326
-0.62	331
-0.6	301
-0.58	332
-0.56	329
-0.54	343
-0.52	338
-0.5	356
-0.48	375
-0.46	380
-0.44	370
-0.42	346
-0.4	361
-0.38	367
-0.36	365
-0.34	380
-0.32	389
-0.3	392
-0.28	414
-0.26	365
-0.24	419
-0.22	371
-0.2	387
-0.18	379
-0.16	392
-0.14	395
-0.12	369
-0.1	388
-0.08	403
-0.06	412
-0.04	374
-0.02	390
0	388
0.02	380
0.04	387
0.06	396
0.08	408
0.1	442
0.12	369
0.14	386
0.16	382
0.18	391
0.2	376
0.22	370
0.24	394
0.26	390
0.28	415
0.3	348
0.32	343
0.34	399
0.36	370
0.38	347
0.4	374
0.42	364
0.44	355
0.46	389
0.48	345
0.5	352
0.52	347
0.54	338
0.56	338
0.58	323
0.6	358
0.62	347
0.64	324
0.66	320
0.68	332
0.7	310
0.72	344
0.74	283
0.76	302
0.78	280
0.8	263
0.82	275
0.84	274
0.86	289
0.88	271
0.9	303
0.92	234
0.94	257
0.96	280
0.98	262
1	229
1.02	221
1.04	235
1.06	217
1.08	228
1.1	203
1.12	220
1.14	212
1.16	202
1.18	188
1.2	158
1.22	155
1.24	176
1.26	145
1.28	187
1.3	177
1.32	162
1.34	168
1.36	133
1.38	143
1.4	164
1.42	123
1.44	151
1.46	147
1.48	145
1.5	124
1.52	116
1.54	129
1.56	129
1.58	136
1.6	92
1.62	119
1.64	92
1.66	105
1.68	95
1.7	101
1.72	80
1.74	79
1.76	84
1.78	67
1.8	83
1.82	62
1.84	76
1.86	57
1.88	68
1.9	64
1.92	52
1.94	71
1.96	47
1.98	55
2	56
2.02	53
2.04	55
2.06	50
2.08	45
2.1	54
2.12	40
2.14	47
2.16	25
2.18	42
2.2	36
2.22	38
2.24	26
2.26	36
2.28	25
2.3	25
2.32	29
2.34	31
2.36	25
2.38	26
2.4	21
2.42	17
2.44	29
2.46	27
2.48	18
2.5	10
2.52	23
2.54	22
2.56	12
2.58	11
2.6	15
2.62	11
2.64	10
2.66	12
2.68	14
2.7	8
2.72	8
2.74	11
2.76	16
2.78	6
2.8	7
2.82	8
2.84	5
2.86	9
2.88	1
2.9	7
2.92	4
2.94	3
2.96	4
2.98	4
3	5
3.02	7
3.04	2
3.06	1
3.08	6
3.1	6
3.12	2
3.14	1
3.16	5
3.18	5
3.2	2
3.22	3
3.24	1
3.26	6
3.28	0
3.3	5
3.32	0
3.34	2
3.36	2
3.38	3
3.4	4
3.42	1
3.44	1
3.46	3
3.48	1
3.5	1
3.52	4
3.54	0
3.56	0
3.58	0
3.6	1
3.62	0
3.64	1
3.66	0
3.68	0
3.7	1
3.72	0
3.74	0
3.76	0
3.78	0
3.8	0
3.82	0
3.84	0
3.86	1
3.88	1
3.9	0
3.92	1
3.94	0
3.96	0
3.98	0
4	0
4.02	0
4.04	1
4.06	0
4.08	0
4.1	0
4.12	0
4.14	0
4.16	0
4.18	0
4.2	0
4.22	0
4.24	0
4.26	0
4.28	0
4.3	0
4.32	0
4.34	0
4.36	0
4.38	0
4.4	1
4.42	0
4.44	0
4.46	0
4.48	0
4.5	0
4.52	0
4.54	0
4.56	0
4.58	0
4.6	0
4.62	0
4.64	0
4.66	0
4.68	0
4.7	0
4.72	0
4.74	0
4.76	0
4.78	0
4.8	0
4.82	0
4.84	0
4.86	0
4.88	0
4.9	0
4.92	0
4.94	0
4.96	0
4.98	0
